City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jamestown,42.097,-79.2353,-0.16,100,75,1.54,US,1678106646
84,severo-kurilsk,50.6789,156.125,-1.61,90,99,3.74,RU,1678105936
85,gardner,42.5751,-71.9981,2.38,68,0,7.72,US,1678106496
86,saint-philippe,-21.3585,55.7679,28.77,92,100,3.89,RE,1678106209
87,tahe,52.3333,124.7333,-10.94,90,97,1.47,CN,1678106497
88,kuito,-12.3833,16.9333,23.59,67,64,2.33,AO,1678106497
89,honiara,-9.4333,159.95,25.95,87,93,2.96,SB,1678106142
90,nanortalik,60.1432,-45.2371,1.97,82,10,4.39,GL,1678106270
91,puerto escondido,15.85,-97.0667,22.46,88,0,2.57,MX,1678106305
92,kavieng,-2.5744,150.7967,27.63,73,95,2.71,PG,1678106169
93,kibala,9.1104,18.3463,40.97,6,0,3.09,TD,1678106499
94,poum,-20.2333,164.0167,26.66,77,34,6.89,NC,1678106151
95,rio gallegos,-51.6226,-69.2181,7.03,76,0,5.66,AR,1678106289
96,hithadhoo,-0.6,73.0833,28.26,64,6,0.95,MV,1678106736
97,xining,36.6167,101.7667,5.9,32,20,1.67,CN,1678106500
98,gbarnga,6.9956,-9.4722,36.56,36,60,1.19,LR,1678106500
99,dongsheng,39.8161,109.9776,6.3,26,0,2.4,CN,1678106501
100,arraial do cabo,-22.9661,-42.0278,27.92,74,0,4.63,BR,1678106164
101,kerema,-7.9631,145.7785,26.53,83,99,3.72,PG,1678106268
102,cape town,-33.9258,18.4232,25.06,62,20,10.29,ZA,1678106458
103,markova,48.6758,24.4138,3.43,52,100,4.55,UA,1678106502
104,daru,-9.0763,143.2092,25.21,89,97,5.44,PG,1678106502
105,taloqan,36.7361,69.5345,19.23,33,99,1.62,AF,1678106503
106,vila velha,-20.3297,-40.2925,29.97,65,20,4.63,BR,1678106191
107,aswan,24.0934,32.907,36.19,14,6,5.69,EG,1678106504
108,ocana,8.2377,-73.356,20.4,82,100,0.71,CO,1678106505
109,hjelset,62.7833,7.4833,-1.12,86,75,4.12,NO,1678106505
110,new norfolk,-42.7826,147.0587,15.72,60,100,0.89,AU,1678106740
111,yingcheng,30.95,113.55,20.12,27,100,2.39,CN,1678106506
112,lasa,46.6166,10.7002,9.49,69,100,1.2,IT,1678106246
113,port augusta,-32.5,137.7667,18.99,51,0,6.61,AU,1678106506
114,asfi,32.2994,-9.2372,17.48,67,92,4.36,MA,1678106507
115,beyneu,45.3167,55.2,15.48,51,100,7.05,KZ,1678106480
116,dikson,73.5069,80.5464,-22.55,97,100,3.45,RU,1678106742
117,rawson,-43.3002,-65.1023,25.81,27,4,5.24,AR,1678106159
118,georgetown,5.4112,100.3354,28.97,65,20,2.06,MY,1678106741
119,mucuri,-18.0864,-39.5508,28.82,65,100,3.58,BR,1678106508
120,paamiut,61.994,-49.6678,1.67,72,15,2.92,GL,1678106198
121,bredasdorp,-34.5322,20.0403,19.37,69,100,5.43,ZA,1678106743
122,honningsvag,70.9821,25.9704,-6.14,68,20,5.14,NO,1678106509
123,cabo san lucas,22.8909,-109.9124,18.62,67,5,2.37,MX,1678106744
124,vuktyl,63.8567,57.3094,-14.18,94,41,2.46,RU,1678106509
125,abu kamal,34.4506,40.9171,25.84,20,95,5.06,SY,1678106510
126,banda aceh,5.5577,95.3222,26.4,74,1,4.79,ID,1678106229
127,manzhouli,49.6,117.4333,-7.92,82,100,3.34,CN,1678106510
128,ilhabela,-23.7781,-45.3581,28.49,66,55,0.87,BR,1678106511
